date,price
1-01-2015,314
1-02-2015,314
1-03-2015,287
1-04-2015,261
1-05-2015,273
1-06-2015,285
1-07-2015,296
1-08-2015,284
1-09-2015,290
1-10-2015,275
1-11-2015,267
1-12-2015,268
1-13-2015,221
1-14-2015,172
1-15-2015,211
1-16-2015,206
1-17-2015,199
1-18-2015,209
1-19-2015,215
1-20-2015,211
1-21-2015,224
1-22-2015,232
1-23-2015,233
1-24-2015,248
1-25-2015,254
1-26-2015,271
1-27-2015,259
1-29-2015,233
1-30-2015,229
1-31-2015,218
2-01-2015,226
2-02-2015,240
2-03-2015,226
2-04-2015,225
2-05-2015,217
2-06-2015,222
2-07-2015,227
2-08-2015,223
2-09-2015,220
2-10-2015,221
2-11-2015,219
2-12-2015,222
2-13-2015,236
2-14-2015,259
2-15-2015,233
2-16-2015,236
2-17-2015,242
2-18-2015,235
2-19-2015,240
2-20-2015,244
2-21-2015,244
2-22-2015,236
2-23-2015,238
2-24-2015,239
2-25-2015,237
2-26-2015,236
2-27-2015,254
2-28-2015,254
3-01-2015,258
3-02-2015,270
3-03-2015,281
3-04-2015,273
3-05-2015,275
3-06-2015,272
3-07-2015,276
3-08-2015,275
3-09-2015,289
3-10-2015,290
3-11-2015,296
3-12-2015,294
3-13-2015,288
3-14-2015,281
3-15-2015,285
3-16-2015,290
3-17-2015,284
3-18-2015,256
3-19-2015,260
3-20-2015,261
3-21-2015,259
3-22-2015,268
3-23-2015,266
3-24-2015,245
3-25-2015,246
3-26-2015,248
3-27-2015,247
3-28-2015,252
3-29-2015,242
3-30-2015,247
3-31-2015,243
4-01-2015,247
4-02-2015,252
4-03-2015,254
4-04-2015,253
4-05-2015,260
4-06-2015,255
4-07-2015,253
4-08-2015,244
4-09-2015,243
4-10-2015,235
4-11-2015,236
4-12-2015,236
4-13-2015,224
4-14-2015,218
4-15-2015,223
4-16-2015,228
4-17-2015,222
4-18-2015,223
4-19-2015,223
4-20-2015,224
4-21-2015,235
4-22-2015,234
4-23-2015,235
4-24-2015,231
4-25-2015,226
4-26-2015,219
4-27-2015,229
4-28-2015,226
4-29-2015,226
4-30-2015,236
5-01-2015,233
5-02-2015,235
5-03-2015,240
5-04-2015,239
5-05-2015,236
5-06-2015,230
5-07-2015,237
5-08-2015,244
5-09-2015,242
5-10-2015,240
5-11-2015,242
5-12-2015,242
5-13-2015,235
5-14-2015,237
5-15-2015,237
5-16-2015,236
5-17-2015,236
5-18-2015,232
5-19-2015,232
5-20-2015,234
5-21-2015,235
5-22-2015,241
5-23-2015,239
5-24-2015,241
5-25-2015,237
5-26-2015,237
5-27-2015,237
5-28-2015,237
5-29-2015,237
5-30-2015,233
5-31-2015,230
6-01-2015,223
6-02-2015,226
6-03-2015,225
6-04-2015,224
6-05-2015,225
6-06-2015,225
6-07-2015,224
6-08-2015,229
6-09-2015,230
6-10-2015,229
6-11-2015,230
6-12-2015,231
6-13-2015,233
6-14-2015,234
6-15-2015,237
6-16-2015,250
6-17-2015,248
6-18-2015,249
6-19-2015,243
6-20-2015,245
6-21-2015,244
6-22-2015,247
6-23-2015,244
6-24-2015,241
6-25-2015,242
6-26-2015,242
6-27-2015,251
6-28-2015,248
6-29-2015,256
6-30-2015,262
7-01-2015,258
7-02-2015,255
7-03-2015,255
7-04-2015,260
7-05-2015,271
7-06-2015,269
7-07-2015,265
7-08-2015,270
7-09-2015,269
7-10-2015,285
7-11-2015,292
7-12-2015,310
7-13-2015,291
7-14-2015,287
7-15-2015,284
7-16-2015,277
7-17-2015,278
7-18-2015,274
7-19-2015,273
7-20-2015,277
7-21-2015,275
7-22-2015,276
7-23-2015,276
7-24-2015,288
7-25-2015,288
7-26-2015,292
7-27-2015,293
7-28-2015,294
7-29-2015,289
7-30-2015,287
7-31-2015,284
8-01-2015,281
8-02-2015,282
8-03-2015,282
8-04-2015,284
8-05-2015,281
8-06-2015,278
8-07-2015,279
8-08-2015,260
8-09-2015,264
8-10-2015,264
8-11-2015,270
8-12-2015,268
8-13-2015,264
8-14-2015,265
8-15-2015,260
8-16-2015,258
8-17-2015,257
8-18-2015,253
8-19-2015,226
8-20-2015,235
8-21-2015,232
8-22-2015,229
8-23-2015,227
8-24-2015,210
8-25-2015,221
8-26-2015,225
8-27-2015,223
8-28-2015,232
8-29-2015,228
8-30-2015,228
8-31-2015,230
9-01-2015,227
9-02-2015,229
9-03-2015,227
9-04-2015,230
9-05-2015,235
9-06-2015,239
9-07-2015,241
9-08-2015,244
9-09-2015,238
9-10-2015,239
9-11-2015,240
9-12-2015,235
9-13-2015,231
9-14-2015,230
9-15-2015,230
9-16-2015,228
9-17-2015,233
9-18-2015,232
9-19-2015,231
9-20-2015,231
9-21-2015,226
9-22-2015,230
9-23-2015,230
9-24-2015,234
9-25-2015,235
9-26-2015,235
9-27-2015,233
9-28-2015,239
9-29-2015,237
9-30-2015,236
10-01-2015,238
10-02-2015,237
10-03-2015,239
10-04-2015,239
10-05-2015,240
10-06-2015,246
10-07-2015,243
10-08-2015,243
10-09-2015,244
10-10-2015,245
10-11-2015,248
10-12-2015,246
10-13-2015,249
10-14-2015,253
10-15-2015,255
10-16-2015,262
10-17-2015,270
10-18-2015,262
10-19-2015,264
10-20-2015,270
10-21-2015,267
10-22-2015,274
10-23-2015,277
10-24-2015,283
10-25-2015,285
10-26-2015,286
10-27-2015,295
10-28-2015,304
10-29-2015,314
10-30-2015,326
10-31-2015,312
11-01-2015,325
11-02-2015,351
11-03-2015,398
11-04-2015,404
11-05-2015,387
11-06-2015,373
11-07-2015,387
11-08-2015,372
11-09-2015,381
11-10-2015,337
11-11-2015,306
11-12-2015,338
11-13-2015,337
11-14-2015,332
11-15-2015,320
11-16-2015,331
11-17-2015,335
11-18-2015,335
11-19-2015,326
11-20-2015,321
11-21-2015,325
11-22-2015,323
11-23-2015,323
11-24-2015,320
11-25-2015,328
11-26-2015,356
11-27-2015,359
11-28-2015,356
11-29-2015,371
11-30-2015,378
12-01-2015,363
12-02-2015,359
12-03-2015,361
12-04-2015,363
12-05-2015,391
12-06-2015,394
12-07-2015,394
12-08-2015,413
12-09-2015,417
12-10-2015,417
12-11-2015,452
12-12-2015,435
12-13-2015,436
12-14-2015,443
12-15-2015,465
12-16-2015,454
12-17-2015,456
12-18-2015,464
12-19-2015,462
12-20-2015,441
12-21-2015,438
12-22-2015,436
12-23-2015,443
12-24-2015,455
12-25-2015,456
12-26-2015,417
12-27-2015,424
12-28-2015,421
12-29-2015,432
12-30-2015,427
12-31-2015,431
1-01-2016,434
1-02-2016,434
1-03-2016,430
1-04-2016,434
1-05-2016,432
1-06-2016,431
1-07-2016,456
1-08-2016,455
1-09-2016,449
1-10-2016,447
1-11-2016,448
1-12-2016,446
1-13-2016,432
1-14-2016,429
1-15-2016,366
1-16-2016,385
1-17-2016,386
1-18-2016,385
1-19-2016,379
1-20-2016,419
1-21-2016,408
1-22-2016,377
1-23-2016,390
1-24-2016,403
1-25-2016,392
1-26-2016,392
1-27-2016,394
1-28-2016,380
1-29-2016,379
1-30-2016,377
1-31-2016,364
2-01-2016,371
2-02-2016,373
2-03-2016,368
2-04-2016,388
2-05-2016,386
2-06-2016,375
2-07-2016,376
2-08-2016,371
2-09-2016,374
2-10-2016,380
2-11-2016,377
2-12-2016,383
2-13-2016,390
2-14-2016,404
2-15-2016,399
2-16-2016,407
2-17-2016,417
2-18-2016,421
2-19-2016,419
2-20-2016,441
2-21-2016,439
2-22-2016,438
2-23-2016,420
2-24-2016,423
2-25-2016,423
2-26-2016,427
2-27-2016,432
2-28-2016,433
2-29-2016,437
3-01-2016,431
3-02-2016,424
3-03-2016,420
3-04-2016,409
3-05-2016,397
3-06-2016,405
3-07-2016,414
3-08-2016,412
3-09-2016,412
3-10-2016,416
3-11-2016,419
3-12-2016,411
3-13-2016,412
3-14-2016,415
3-15-2016,416
3-16-2016,417
3-17-2016,418
3-18-2016,408
3-19-2016,407
3-20-2016,412
3-21-2016,411
3-22-2016,416
3-23-2016,418
3-24-2016,415
3-25-2016,416
3-26-2016,417
3-27-2016,425
3-28-2016,423
3-29-2016,416
3-30-2016,413
3-31-2016,415
4-01-2016,417
4-02-2016,420
4-03-2016,418
4-04-2016,419
4-05-2016,423
4-06-2016,422
4-07-2016,421
4-08-2016,418
4-09-2016,416
4-10-2016,421
4-11-2016,423
4-12-2016,426
4-13-2016,424
4-14-2016,425
4-15-2016,430
4-16-2016,431
4-17-2016,428
4-18-2016,429
4-19-2016,436
4-20-2016,442
4-21-2016,451
4-22-2016,447
4-23-2016,452
4-24-2016,460
4-25-2016,460
4-26-2016,468
4-27-2016,445
4-28-2016,449
4-29-2016,457
4-30-2016,448
5-01-2016,453
5-02-2016,444
5-03-2016,45
5-04-2016,447
5-05-2016,449
5-06-2016,462
5-07-2016,459
5-08-2016,459
5-09-2016,462
5-10-2016,450
5-11-2016,452
5-12-2016,455
5-13-2016,456
5-14-2016,456
5-15-2016,458
5-16-2016,455
5-17-2016,452
5-18-2016,453
5-19-2016,441
5-20-2016,442
5-21-2016,443
5-22-2016,439
5-23-2016,443
5-24-2016,446
5-25-2016,449
5-26-2016,454
5-27-2016,474
5-28-2016,529
5-29-2016,525
5-30-2016,534
5-31-2016,531
6-01-2016,539
6-02-2016,539
6-03-2016,570
6-04-2016,574
6-05-2016,574
6-06-2016,586
6-07-2016,578
6-08-2016,583
6-09-2016,578
6-10-2016,579
6-11-2016,598
6-12-2016,672
6-13-2016,704
6-14-2016,686
6-15-2016,693
6-16-2016,765
6-17-2016,749
6-18-2016,757
6-19-2016,764
6-20-2016,734
6-21-2016,665
6-22-2016,592
6-23-2016,623
6-24-2016,661
6-25-2016,666
6-26-2016,629
6-27-2016,648
6-28-2016,647
6-29-2016,637
6-30-2016,672
7-01-2016,678
7-02-2016,693
7-03-2016,665
7-04-2016,679
7-05-2016,668
7-06-2016,676
7-07-2016,639
7-08-2016,666
7-09-2016,654
7-10-2016,650
7-11-2016,649
7-12-2016,671
7-13-2016,658
7-14-2016,660
