index,date,price
1,"January 1, 2015",314
2,"January 2, 2015",314
3,"January 3, 2015",287
4,"January 4, 2015",261
5,"January 5, 2015",273
6,"January 6, 2015",285
7,"January 7, 2015",296
8,"January 8, 2015",284
9,"January 9, 2015",290
10,"January 10, 2015",275
11,"January 11, 2015",267
12,"January 12, 2015",268
13,"January 13, 2015",221
14,"January 14, 2015",172
15,"January 15, 2015",211
16,"January 16, 2015",206
17,"January 17, 2015",199
18,"January 18, 2015",209
19,"January 19, 2015",215
20,"January 20, 2015",211
21,"January 21, 2015",224
22,"January 22, 2015",232
23,"January 23, 2015",233
24,"January 24, 2015",248
25,"January 25, 2015",254
26,"January 26, 2015",271
27,"January 27, 2015",259
28,"January 29, 2015",233
29,"January 30, 2015",229
30,"January 31, 2015",218
31,"February 1, 2015",226
32,"February 2, 2015",240
33,"February 3, 2015",226
34,"February 4, 2015",225
35,"February 5, 2015",217
36,"February 6, 2015",222
37,"February 7, 2015",227
38,"February 8, 2015",223
39,"February 9, 2015",220
40,"February 10, 2015",221
41,"February 11, 2015",219
42,"February 12, 2015",222
43,"February 13, 2015",236
44,"February 14, 2015",259
45,"February 15, 2015",233
46,"February 16, 2015",236
47,"February 17, 2015",242
48,"February 18, 2015",235
49,"February 19, 2015",240
50,"February 20, 2015",244
51,"February 21, 2015",244
52,"February 22, 2015",236
53,"February 23, 2015",238
54,"February 24, 2015",239
55,"February 25, 2015",237
56,"February 26, 2015",236
57,"February 27, 2015",254
58,"February 28, 2015",254
59,"March 1, 2015",258
60,"March 2, 2015",270
61,"March 3, 2015",281
62,"March 4, 2015",273
63,"March 5, 2015",275
64,"March 6, 2015",272
65,"March 7, 2015",276
66,"March 8, 2015",275
67,"March 9, 2015",289
68,"March 10, 2015",290
69,"March 11, 2015",296
70,"March 12, 2015",294
71,"March 13, 2015",288
72,"March 14, 2015",281
73,"March 15, 2015",285
74,"March 16, 2015",290
75,"March 17, 2015",284
76,"March 18, 2015",256
77,"March 19, 2015",260
78,"March 20, 2015",261
79,"March 21, 2015",259
80,"March 22, 2015",268
81,"March 23, 2015",266
82,"March 24, 2015",245
83,"March 25, 2015",246
84,"March 26, 2015",248
85,"March 27, 2015",247
86,"March 28, 2015",252
87,"March 29, 2015",242
88,"March 30, 2015",247
89,"March 31, 2015",243
90,"April 1, 2015",247
91,"April 2, 2015",252
92,"April 3, 2015",254
93,"April 4, 2015",253
94,"April 5, 2015",260
95,"April 6, 2015",255
96,"April 7, 2015",253
97,"April 8, 2015",244
98,"April 9, 2015",243
99,"April 10, 2015",235
100,"April 11, 2015",236
101,"April 12, 2015",236
102,"April 13, 2015",224
103,"April 14, 2015",218
104,"April 15, 2015",223
105,"April 16, 2015",228
106,"April 17, 2015",222
107,"April 18, 2015",223
108,"April 19, 2015",223
109,"April 20, 2015",224
110,"April 21, 2015",235
111,"April 22, 2015",234
112,"April 23, 2015",235
113,"April 24, 2015",231
114,"April 25, 2015",226
115,"April 26, 2015",219
116,"April 27, 2015",229
117,"April 28, 2015",226
118,"April 29, 2015",226
119,"April 30, 2015",236
120,"may 1, 2015",233
121,"may 2, 2015",235
122,"may 3, 2015",240
123,"may 4, 2015",239
124,"may 5, 2015",236
125,"may 6, 2015",230
126,"may 7, 2015",237
127,"may 8, 2015",244
128,"may 9, 2015",242
129,"may 10, 2015",240
130,"may 11, 2015",242
131,"may 12, 2015",242
132,"may 13, 2015",235
133,"may 14, 2015",237
134,"may 15, 2015",237
135,"may 16, 2015",236
136,"may 17, 2015",236
137,"may 18, 2015",232
138,"may 19, 2015",232
139,"may 20, 2015",234
140,"may 21, 2015",235
141,"may 22, 2015",241
142,"may 23, 2015",239
143,"may 24, 2015",241
144,"may 25, 2015",237
