month,avg
jan 2015,249
feb 2015,234
mar 2015,268
apr 2015,235
may 2015,237
jun 2015,238
jul 2015,279
aug 2015,251
sept 2015,234
oct 2015,265
nov 2015,348
dec 2015,425
jan 2016,411
feb 2016,403
mar 2016,415
apr 2016,434
may 2016,462
jun 2016,642
jul 2016,662
aug 2016,578
sept 2016,605
oct 2016,641
nov 2016,724
dec 2016,825
jan 2017,910
feb 2017,1065
mar 2017,1130
apr 2017,1217
may 2017,1881
jun 2017,2654
jul 2017,2514
aug 2017,3804
sept 2017,4052
oct 2017,5335
nov 2017,7829
dec 2017,15576
jan 2018,13446
feb 2018,9399
mar 2018,9142
apr 2018,7917
may 2018,8454
jun 2018,6787
jul 2018,7071
aug 2018,6701
sept 2018,6611
oct 2018,6504
nov 2018,5501
dec 2018,3684
jan 2019,3661
feb 2019,3676
mar 2019,3930
apr 2019,5118
may 2019,7192
jun 2019,9334
jul 2019,10698
aug 2019,10647
sept 2019,9839
oct 2019,8349
nov 2019,8392
dec 2019,7260
jan 2020,8298
feb 2020,9661
mar 2020,6952
apr 2020,7135
may 2020,9222
jun 2020,9493
jul 2020,9519
aug 2020,11630
sept 2020,10673
oct 2020,11787
nov 2020,16455
dec 2020,21698
jan 2021,34634
feb 2021,45898
mar 2021,54533
apr 2021,57148
may 2021,47188
jun 2021,35974
jul 2021,34272
aug 2021,45564
sept 2021,46085
oct 2021,57485
nov 2021,60985
dec 2021,49722
jan 2022,41414
feb 2022,40648
mar 2022,41898
apr 2022,41716
may 2022,31945
jun 2022,24802
jul 2022,21432
aug 2022,22494
sept 2022,19821
oct 2022,19614
nov 2022,17713
dec 2022,16966
jan 2023,20045
feb 2023,23308
mar 2023,24986
apr 2023,28833
may 2023,27573
jun 2023,27657
jul 2023,30090
aug 2023,27951
sept 2023,26267
oct 2023,29503
nov 2023,36510
dec 2023,42407
jan 2024,42901
feb 2024,49232
mar 2024,67411
apr 2024,66276
may 2024,65056
jun 2024,66054
