month,avg
jan 2015,249
feb 2015,234
mar 2015,268
apr 2015,235
may 2015,237
jun 2015,238
jul 2015,279
aug 2015,251
sep 2015,234
oct 2015,265
nov 2015,348
dic 2015,425
ene 2016,411
feb 2016,403
mar 2016,415
abr 2016,434
may 2016,449
jun 2016,642
jul 2016,662
ago 2016,578
sept 2016,605
oct 2016,623
nov 2016,724
dic 2016,825
ene 2017,910
feb 2017,1065
mar 2017,1130
abr 2017,1217
may 2017,1881
jun 2017,2654
jul 2017,2514
ago 2017,3804
sept 2017,4052
oct 2017,5335
nov 2017,7829
dic 2017,15576
ene 2018,13446
feb 2018,9399
mar 2018,9142
abr 2018,7917
may 2018,8454
jun 2018,6787
jul 2018,7071
ago 2018,6701
sept 2018,6611
oct 2018,6504
nov 2018,5501
dic 2018,3684
ene 2019,3661
feb 2019,3676
mar 2019,3930
abr 2019,5118
may 2019,7192
jun 2019,9334
jul 2019,10698
ago 2019,10647
sept 2019,9839
oct 2019,8349
nov 2019,8392
dic 2019,7260
ene 2020,8298
feb 2020,9661
mar 2020,6952
abr 2020,7135
may 2020,9222
jun 2020,9188
jul 2020,9519
ago 2020,11630
sept 2020,10673
oct 2020,11787
nov 2020,16455
dic 2020,21698
ene 2021,34634
feb 2021,45898
mar 2021,54533
abr 2021,57148
may 2021,47188
jun 2021,35974
jul 2021,34272
ago 2021,45564
sept 2021,46085
oct 2021,57485
nov 2021,60985
dic 2021,49722
ene 2022,41414
feb 2022,40648
mar 2022,41898
abr 2022,41716
may 2022,31945
jun 2022,24802
jul 2022,21432
ago 2022,22494
sept 2022,19821
oct 2022,19614
nov 2022,17713
dic 2022,16966
ene 2023,20045
feb 2023,23308
mar 2023,24986
abr 2023,28833
may 2023,27573
jun 2023,27657
jul 2023,30090
ago 2023,27951
sept 2023,26267
oct 2023,29503
nov 2023,36510
dic 2023,42407
ene 2024,42901
feb 2024,49232
mar 2024,67411
abr 2024,66276
may 2024,65056
jun 2024,66054
