variation,date
"0,00%","January 1, 2015"
"0,10%","January 2, 2015"
"-8,90%","January 3, 2015"
"-8,90%","January 4, 2015"
"4,70%","January 5, 2015"
"4,40%","January 6, 2015"
"3,70%","January 7, 2015"
"-3,90%","January 8, 2015"
"1,80%","January 9, 2015"
"-5,20%","January 10, 2015"
"-2,70%","January 11, 2015"
"0,40%","January 12, 2015"
"-17,50%","January 13, 2015"
"-22,30%","January 14, 2015"
"22,30%","January 15, 2015"
"-2,30%","January 16, 2015"
"-3,10%","January 17, 2015"
"4,80%","January 18, 2015"
"2,70%","January 19, 2015"
"-1,90%","January 20, 2015"
"6,40%","January 21, 2015"
"3,60%","January 22, 2015"
"0,40%","January 23, 2015"
"6,50%","January 24, 2015"
"2,30%","January 25, 2015"
"6,90%","January 26, 2015"
"-4,40%","January 27, 2015"
"-10,30%","January 29, 2015"
"-1,70%","January 30, 2015"
"-4,60%","January 31, 2015"
"3,80%","February 1, 2015"
"6,10%","February 2, 2015"
"-5,80%","February 3, 2015"
"-0,30%","February 4, 2015"
"-3,70%","February 5, 2015"
"2,60%","February 6, 2015"
"2,10%","February 7, 2015"
"-1,90%","February 8, 2015"
"-1,30%","February 9, 2015"
"0,20%","February 10, 2015"
"-0,70%","February 11, 2015"
"1,30%","February 12, 2015"
"6,10%","February 13, 2015"
"9,90%","February 14, 2015"
"-10,00%","February 15, 2015"
"1,30%","February 16, 2015"
"2,80%","February 17, 2015"
"-3,20%","February 18, 2015"
"2,40%","February 19, 2015"
"1,60%","February 20, 2015"
"0,00%","February 21, 2015"
"-3,50%","February 22, 2015"
"1,10%","February 23, 2015"
"0,30%","February 24, 2015"
"-0,60%","February 25, 2015"
"-0,50%","February 26, 2015"
"7,50%","February 27, 2015"
"-0,10%","February 28, 2015"
"1,60%","March 1, 2015"
"4,80%","March 2, 2015"
"3,90%","March 3, 2015"
"-2,70%","March 4, 2015"
"0,70%","March 5, 2015"
"-0,90%","March 6, 2015"
"1,20%","March 7, 2015"
"-0,40%","March 8, 2015"
"5,40%","March 9, 2015"
"0,30%","March 10, 2015"
"1,90%","March 11, 2015"
"-0,70%","March 12, 2015"
"-2,00%","March 13, 2015"
"-2,30%","March 14, 2015"
"1,30%","March 15, 2015"
"1,70%","March 16, 2015"
"-2,00%","March 17, 2015"
"-10,10%","March 18, 2015"
"1,70%","March 19, 2015"
"0,30%","March 20, 2015"
"-0,50%","March 21, 2015"
"3,20%","March 22, 2015"
"-0,70%","March 23, 2015"
"-7,80%","March 24, 2015"
"0,50%","March 25, 2015"
"0,50%","March 26, 2015"
"-0,20%","March 27, 2015"
"2,00%","March 28, 2015"
"-4,00%","March 29, 2015"
"1,90%","March 30, 2015"
"-1,30%","March 31, 2015"
"1,40%","April 1, 2015"
"2,30%","April 2, 2015"
"0,50%","April 3, 2015"
"-0,10%","April 4, 2015"
"2,50%","April 5, 2015"
"-1,70%","April 6, 2015"
"-0,90%","April 7, 2015"
"-3,50%","April 8, 2015"
"-0,40%","April 9, 2015"
"-3,60%","April 10, 2015"
"0,80%","April 11, 2015"
"-0,30%","April 12, 2015"
"-5,00%","April 13, 2015"
"-2,70%","April 14, 2015"
"2,30%","April 15, 2015"
"2,20%","April 16, 2015"
"-2,40%","April 17, 2015"
"0,20%","April 18, 2015"
"-0,10%","April 19, 2015"
"0,70%","April 20, 2015"
"4,60%","April 21, 2015"
"-0,40%","April 22, 2015"
"0,60%","April 23, 2015"
"-1,80%","April 24, 2015"
"-2,20%","April 25, 2015"
"-3,30%","April 26, 2015"
"4,60%","April 27, 2015"
"-1,30%","April 28, 2015"
"0,20%","April 29, 2015"
"4,50%","April 30, 2015"
"-1,50%","may 1, 2015"
