date,price
01-01-2015,314
02-01-2015,314
03-01-2015,287
04-01-2015,261
05-01-2015,273
06-01-2015,285
07-01-2015,296
08-01-2015,284
09-01-2015,290
10-01-2015,275
11-01-2015,267
12-01-2015,268
13-01-2015,221
14-01-2015,172
15-01-2015,211
16-01-2015,206
17-01-2015,199
18-01-2015,209
19-01-2015,215
20-01-2015,211
21-01-2015,224
22-01-2015,232
23-01-2015,233
24-01-2015,248
25-01-2015,254
26-01-2015,271
27-01-2015,259
29-01-2015,233
30-01-2015,229
31-01-2015,218
01-02-2015,226
02-02-2015,240
03-02-2015,226
04-02-2015,225
05-02-2015,217
06-02-2015,222
07-02-2015,227
08-02-2015,223
09-02-2015,220
10-02-2015,221
11-02-2015,219
12-02-2015,222
13-02-2015,236
14-02-2015,259
15-02-2015,233
16-02-2015,236
17-02-2015,242
18-02-2015,235
19-02-2015,240
20-02-2015,244
21-02-2015,244
22-02-2015,236
23-02-2015,238
24-02-2015,239
25-02-2015,237
26-02-2015,236
27-02-2015,254
28-02-2015,254
01-03-2015,258
02-03-2015,270
03-03-2015,281
04-03-2015,273
05-03-2015,275
06-03-2015,272
07-03-2015,276
08-03-2015,275
09-03-2015,289
10-03-2015,290
11-03-2015,296
12-03-2015,294
13-03-2015,288
14-03-2015,281
15-03-2015,285
16-03-2015,290
17-03-2015,284
18-03-2015,256
19-03-2015,260
20-03-2015,261
21-03-2015,259
22-03-2015,268
23-03-2015,266
24-03-2015,245
25-03-2015,246
26-03-2015,248
27-03-2015,247
28-03-2015,252
29-03-2015,242
30-03-2015,247
31-03-2015,243
01-04-2015,247
02-04-2015,252
03-04-2015,254
04-04-2015,253
05-04-2015,260
06-04-2015,255
07-04-2015,253
08-04-2015,244
09-04-2015,243
10-04-2015,235
11-04-2015,236
12-04-2015,236
13-04-2015,224
14-04-2015,218
15-04-2015,223
16-04-2015,228
17-04-2015,222
18-04-2015,223
19-04-2015,223
20-04-2015,224
21-04-2015,235
22-04-2015,234
23-04-2015,235
24-04-2015,231
25-04-2015,226
26-04-2015,219
27-04-2015,229
28-04-2015,226
29-04-2015,226
30-04-2015,236
01-05-2015,233
02-05-2015,235
03-05-2015,240
04-05-2015,239
05-05-2015,236
06-05-2015,230
07-05-2015,237
08-05-2015,244
09-05-2015,242
10-05-2015,240
11-05-2015,242
12-05-2015,242
13-05-2015,235
14-05-2015,237
15-05-2015,237
16-05-2015,236
17-05-2015,236
18-05-2015,232
19-05-2015,232
20-05-2015,234
21-05-2015,235
22-05-2015,241
23-05-2015,239
24-05-2015,241
25-05-2015,237
26-05-2015,237
27-05-2015,237
28-05-2015,237
29-05-2015,237
30-05-2015,233
31-05-2015,230
01-06-2015,223
02-06-2015,226
