month,variation
feb 2015,-6.0
mar 2015,14,5
apr 2015,-12,3
may 2015,0,9
jun 2015,0,4
jul 2015,17,2
aug 2015,-10,0
sept 2015,-6,8
oct 2015,13,2
nov 2015,31,3
dec 2015,22,1
jan 2016,-3,3
feb 2016,-1,9
mar 2016,3,0
apr 2016,4,6
may 2016,6,5
jun 2016,39,0
jul 2016,3,1
aug 2016,-12,7
sept 2016,4,7
oct 2016,6,0
nov 2016,12,9
dec 2016,14,0
jan 2017,10,3
feb 2017,17,0
mar 2017,6,1
apr 2017,7,7
may 2017,54,6
jun 2017,41,1
jul 2017,-5,3
aug 2017,51,3
sept 2017,6,5
oct 2017,31,7
nov 2017,46,7
dec 2017,99,0
jan 2018,-13,7
feb 2018,-30,1
mar 2018,-2,7
apr 2018,-13,4
may 2018,6,8
jun 2018,-19,7
jul 2018,4,2
aug 2018,-5,2
sept 2018,-1,3
oct 2018,-1,6
nov 2018,-15,4
dec 2018,-33,0
jan 2019,-0,6
feb 2019,0,4
mar 2019,6,9
apr 2019,30,2
may 2019,40,5
jun 2019,29,8
jul 2019,14,6
aug 2019,-0,5
sept 2019,-7,6
oct 2019,-15,1
nov 2019,0,5
dec 2019,-13,5
jan 2020,14,3
feb 2020,16,4
mar 2020,-28,0
apr 2020,2,6
may 2020,29,3
jun 2020,2,9
jul 2020,0,3
aug 2020,22,2
sept 2020,-8,2
oct 2020,10,4
nov 2020,39,6
dec 2020,31,9
jan 2021,59,6
feb 2021,32,5
mar 2021,18,8
apr 2021,4,8
may 2021,-17,4
jun 2021,-23,8
jul 2021,-4,7
aug 2021,32,9
sept 2021,1,1
oct 2021,24,7
nov 2021,6,1
dec 2021,-18,5
jan 2022,-16,7
feb 2022,-1,8
mar 2022,3,1
apr 2022,-0,4
may 2022,-23,4
jun 2022,-22,4
jul 2022,-13,6
aug 2022,5,0
sept 2022,-11,9
oct 2022,-1,0
nov 2022,-9,7
dec 2022,-4,2
jan 2023,18,1
feb 2023,16,3
mar 2023,7,2
apr 2023,15,4
may 2023,-4,4
jun 2023,0,3
jul 2023,8,8
aug 2023,-7,1
sept 2023,-6,0
oct 2023,12,3
nov 2023,23,8
dec 2023,16,2
jan 2024,1,2
feb 2024,14,8
mar 2024,36,9
apr 2024,-1,7
may 2024,-1,8
jun 2024,1,5
