variation,date
0.0,"January 1, 2015"
0.1,"January 2, 2015"
-8.9,"January 3, 2015"
-8.9,"January 4, 2015"
4.7,"January 5, 2015"
4.4,"January 6, 2015"
3.7,"January 7, 2015"
-3.9,"January 8, 2015"
1.8,"January 9, 2015"
-5.2,"January 10, 2015"
-2.7,"January 11, 2015"
0.4,"January 12, 2015"
-17.5,"January 13, 2015"
-22.3,"January 14, 2015"
22.3,"January 15, 2015"
-2.3,"January 16, 2015"
-3.1,"January 17, 2015"
4.8,"January 18, 2015"
2.7,"January 19, 2015"
-1.9,"January 20, 2015"
6.4,"January 21, 2015"
3.6,"January 22, 2015"
0.4,"January 23, 2015"
6.5,"January 24, 2015"
2.3,"January 25, 2015"
6.9,"January 26, 2015"
-4.4,"January 27, 2015"
-10.3,"January 29, 2015"
-1.7,"January 30, 2015"
-4.6,"January 31, 2015"
3.8,"February 1, 2015"
6.1,"February 2, 2015"
-5.8,"February 3, 2015"
-0.3,"February 4, 2015"
-3.7,"February 5, 2015"
2.6,"February 6, 2015"
2.1,"February 7, 2015"
-1.9,"February 8, 2015"
-1.3,"February 9, 2015"
0.2,"February 10, 2015"
-0.7,"February 11, 2015"
1.3,"February 12, 2015"
6.1,"February 13, 2015"
9.9,"February 14, 2015"
-10.0,"February 15, 2015"
1.3,"February 16, 2015"
2.8,"February 17, 2015"
-3.2,"February 18, 2015"
2.4,"February 19, 2015"
1.6,"February 20, 2015"
0.0,"February 21, 2015"
-3.5,"February 22, 2015"
1.1,"February 23, 2015"
0.3,"February 24, 2015"
-0.6,"February 25, 2015"
-0.5,"February 26, 2015"
7.5,"February 27, 2015"
-0.1,"February 28, 2015"
1.6,"March 1, 2015"
4.8,"March 2, 2015"
3.9,"March 3, 2015"
-2.7,"March 4, 2015"
0.7,"March 5, 2015"
-0.9,"March 6, 2015"
1.2,"March 7, 2015"
-0.4,"March 8, 2015"
5.4,"March 9, 2015"
0.3,"March 10, 2015"
1.9,"March 11, 2015"
-0.7,"March 12, 2015"
-2.0,"March 13, 2015"
-2.3,"March 14, 2015"
1.3,"March 15, 2015"
1.7,"March 16, 2015"
-2.0,"March 17, 2015"
-10.1,"March 18, 2015"
1.7,"March 19, 2015"
0.3,"March 20, 2015"
-0.5,"March 21, 2015"
3.2,"March 22, 2015"
-0.7,"March 23, 2015"
-7.8,"March 24, 2015"
0.5,"March 25, 2015"
0.5,"March 26, 2015"
-0.2,"March 27, 2015"
2.0,"March 28, 2015"
-4.0,"March 29, 2015"
1.9,"March 30, 2015"
-1.3,"March 31, 2015"
1.4,"April 1, 2015"
2.3,"April 2, 2015"
0.5,"April 3, 2015"
-0.1,"April 4, 2015"
2.5,"April 5, 2015"
-1.7,"April 6, 2015"
-0.9,"April 7, 2015"
-3.5,"April 8, 2015"
-0.4,"April 9, 2015"
-3.6,"April 10, 2015"
0.8,"April 11, 2015"
-0.3,"April 12, 2015"
-5.0,"April 13, 2015"
-2.7,"April 14, 2015"
2.3,"April 15, 2015"
2.2,"April 16, 2015"
-2.4,"April 17, 2015"
0.2,"April 18, 2015"
-0.1,"April 19, 2015"
0.7,"April 20, 2015"
4.6,"April 21, 2015"
-0.4,"April 22, 2015"
0.6,"April 23, 2015"
-1.8,"April 24, 2015"
-2.2,"April 25, 2015"
-3.3,"April 26, 2015"
4.6,"April 27, 2015"
-1.3,"April 28, 2015"
0.2,"April 29, 2015"
4.5,"April 30, 2015"
-1.5,"may 1, 2015"
1.0,"may 2, 2015"
2.0,"may 3, 2015"
-0.4,"may 4, 2015"
-1.2,"may 5, 2015"
-2.6,"may 6, 2015"
3.1,"may 7, 2015"
2.9,"may 8, 2015"
-0.9,"may 9, 2015"
-0.8,"may 10, 2015"
1.0,"may 11, 2015"
-0.1,"may 12, 2015"
-2.5,"may 13, 2015"
